timestamp,planner,start_x,start_y,goal_x,goal_y,error,cost,path_len,path_distance_m,planning_time_s,expanded
2025-09-13T11:13:12.932033,a_star,3,17,5,26,,9.82842712474619,10,920.0030537295008,0.11441275699962716,24
2025-09-13T11:13:12.951703,dijkstra,3,17,5,26,,9.82842712474619,10,920.0030537295008,0.01953113299987308,204
2025-09-13T11:13:12.967967,gbfs,3,17,5,26,,9.828427124746192,10,926.1924271097452,0.016140486000040255,10
2025-09-13T11:13:13.011427,jps,3,17,5,26,,9.82842712474619,3,903.1805902251313,0.043372509000619175,3
2025-09-13T11:13:13.027474,rrt_connect,3,17,5,26,,9.844148683629045,21,939.8949748356307,0.015873692999775812,22
2025-09-13T11:13:13.050363,rrt,3,17,5,26,,13.880331368996544,29,1210.4407984098748,0.02265251399967383,160
2025-09-13T11:13:13.063405,gbfs,3,17,5,26,,9.828427124746192,10,926.1924271097452,0.01290556200001447,10
2025-09-13T11:13:13.079026,a_star,17,6,2,24,,24.213203435596434,19,2145.3417581116396,0.015417865999552305,84
2025-09-13T11:13:13.131578,dijkstra,17,6,2,24,,24.213203435596434,19,2145.3417581116396,0.05223719999958121,1033
2025-09-13T11:13:13.144478,gbfs,17,6,2,24,,24.213203435596434,19,2149.153598144896,0.01269322000007378,19
2025-09-13T11:13:13.165655,jps,17,6,2,24,,24.213203435596427,3,2060.1781341154515,0.021062483000605425,3
2025-09-13T11:13:13.180067,rrt_connect,17,6,2,24,,23.434846518343996,48,2113.4302378548896,0.014094319999458094,49
2025-09-13T11:13:13.237871,rrt,17,6,2,24,,28.24830244078355,58,2565.9970304747344,0.0573651439999594,359
2025-09-13T11:13:13.249565,gbfs,17,6,2,24,,24.213203435596434,19,2149.153598144896,0.011528697999892756,19
2025-09-13T11:13:13.264349,a_star,34,35,21,21,,19.384776310850242,15,1705.6914764435796,0.01464028100053838,34
2025-09-13T11:13:13.298647,dijkstra,34,35,21,21,,19.384776310850242,15,1705.6914764435796,0.03409045900025376,713
2025-09-13T11:13:13.312995,gbfs,34,35,21,21,,19.384776310850242,15,1722.2611014817771,0.014127733000350418,15
2025-09-13T11:13:13.333426,jps,34,35,21,21,,19.384776310850235,3,1640.862832221196,0.02028799099934986,3
2025-09-13T11:13:13.348477,rrt_connect,34,35,21,21,,19.22676825019549,40,1708.1181487083575,0.01461645800009137,41
2025-09-13T11:13:13.375961,rrt,34,35,21,21,,25.10480397773637,52,2179.5393408940918,0.027026075999856403,210
2025-09-13T11:13:13.389874,gbfs,34,35,21,21,,19.384776310850242,15,1722.2611014817771,0.013642205999531143,15
2025-09-13T11:13:13.402220,a_star,3,10,8,21,,13.071067811865476,12,1166.8026846056948,0.011996692999673542,39
2025-09-13T11:13:13.425261,dijkstra,3,10,8,21,,13.071067811865476,12,1166.700564798295,0.022886407999976655,312
2025-09-13T11:13:13.438970,gbfs,3,10,8,21,,13.071067811865477,12,1195.9656897848672,0.013569294999797421,12
2025-09-13T11:13:13.457989,jps,3,10,8,21,,13.071067811865476,3,1155.4669435941832,0.018887922999965667,3
2025-09-13T11:13:13.469426,rrt_connect,3,10,8,21,,12.219452187875621,26,1113.3904429392353,0.011211578999791527,27
2025-09-13T11:13:13.485214,rrt,3,10,8,21,,17.595605766526727,37,1608.3930417181418,0.015479435000088415,71
2025-09-13T11:13:13.499439,gbfs,3,10,8,21,,13.071067811865477,12,1195.9656897848672,0.014005732999976317,12
2025-09-13T11:13:13.510930,a_star,35,21,44,15,,11.485281374238571,10,958.7445573632058,0.011335641000187024,27
2025-09-13T11:13:13.537962,dijkstra,35,21,44,15,,11.485281374238571,10,958.7445573632058,0.026854986999751418,366
2025-09-13T11:13:13.549258,gbfs,35,21,44,15,,11.485281374238571,10,1012.5222299439196,0.011141037999550463,10
2025-09-13T11:13:13.572049,jps,35,21,44,15,,11.48528137423857,3,938.6964024301321,0.022710574000484485,3
2025-09-13T11:13:13.585725,rrt_connect,35,21,44,15,,11.763194894080659,25,999.5661240717692,0.013483904000167968,26
