timestamp,planner,goal_x,goal_y,error,cost,path_len,path_distance_m,planning_time_s,expanded
2025-09-13T10:52:01.810442,a_star,3,17,,12.82842712474619,13,1194.3783219724114,0.1590783730007388,35
2025-09-13T10:52:01.856758,dijkstra,3,17,,12.82842712474619,13,1194.3783219724114,0.04603719500028092,274
2025-09-13T10:52:01.881387,a_star,5,26,,21.0,22,2023.4727878728881,0.024390562000007776,22
2025-09-13T10:52:01.963090,dijkstra,5,26,,21.0,22,2023.4727878728881,0.08123699399948237,563
2025-09-13T10:52:01.987375,a_star,17,6,,12.414213562373096,13,982.7563344256854,0.023823457999242237,23
2025-09-13T10:52:02.024250,dijkstra,17,6,,12.414213562373096,13,982.7563344256854,0.03644643999996333,265
2025-09-13T10:52:02.041395,a_star,2,24,,20.242640687119284,20,1910.776794605116,0.016783848000159196,81
2025-09-13T10:52:02.082241,dijkstra,2,24,,20.242640687119284,20,1910.776794605116,0.04037047900055768,530
2025-09-13T10:52:02.104549,a_star,34,35,,42.01219330881975,31,3706.202450781468,0.022003213999596483,92
2025-09-13T10:52:02.211848,dijkstra,34,35,,42.01219330881975,31,3706.202450781468,0.10687749799944868,1703
2025-09-13T10:52:02.244364,a_star,21,21,,22.62741699796953,17,1995.79164879487,0.03229599099995539,17
2025-09-13T10:52:02.285426,dijkstra,21,21,,22.62741699796953,17,1995.79164879487,0.04073778699967079,628
2025-09-13T10:52:02.301151,a_star,3,10,,5.82842712474619,6,524.9422047095788,0.015532359999269829,8
2025-09-13T10:52:02.322580,dijkstra,3,10,,5.82842712474619,6,524.9422047095788,0.021115732999533066,98
2025-09-13T10:52:02.340699,a_star,8,21,,17.242640687119284,17,1582.315705448798,0.01778303699938988,55
2025-09-13T10:52:02.382610,dijkstra,8,21,,17.242640687119284,17,1582.315705448798,0.04111953600022389,413
2025-09-13T10:52:02.415649,a_star,35,21,,36.62741699796953,31,3009.840830709879,0.03250238900000113,302
2025-09-13T10:52:02.500612,dijkstra,35,21,,36.62741699796953,31,3009.840830709879,0.08382970999991812,1365
2025-09-13T10:52:02.551731,a_star,44,15,,43.14213562373095,40,3531.8416811571838,0.0504308649997256,408
2025-09-13T10:52:02.670284,dijkstra,44,15,,43.14213562373095,40,3531.8416811571838,0.1179509980001967,1759
2025-09-13T10:52:02.691869,a_star,10,0,,7.0710678118654755,6,618.587273953344,0.02138536100028432,6
2025-09-13T10:52:02.733783,dijkstra,10,0,,7.0710678118654755,6,618.587273953344,0.041339342999890505,131
2025-09-13T10:52:02.755387,a_star,27,5,,22.0,23,1751.4955931790164,0.021181644000535016,43
2025-09-13T10:52:02.799417,dijkstra,27,5,,22.0,23,1751.4955931790164,0.043736283999351144,615
2025-09-13T10:52:02.831383,a_star,38,24,,40.87005768508881,34,3361.127998682654,0.03144976899966423,346
2025-09-13T10:52:02.962843,dijkstra,38,24,,40.87005768508881,34,3361.127998682654,0.13070363699989684,1632
2025-09-13T10:52:03.006364,a_star,4,0,,5.414213562373095,6,491.8296892957052,0.04325406999942061,9
2025-09-13T10:52:03.126558,dijkstra,4,0,,5.414213562373095,6,491.8296892957052,0.11995742299950507,86
2025-09-13T10:52:03.179882,a_star,20,28,,29.213203435596434,24,2623.8265576459416,0.05272239000078116,170
2025-09-13T10:52:03.280061,dijkstra,20,28,,29.213203435596434,24,2623.8265576459416,0.09964541600038501,934
2025-09-13T10:52:03.326340,a_star,6,2,,3.414213562373095,4,304.7791649452996,0.04611465899961331,5
2025-09-13T10:52:03.360382,dijkstra,6,2,,3.414213562373095,4,304.7791649452996,0.03385290000005625,32
2025-09-13T10:52:03.387526,a_star,5,42,,37.0,38,3523.2020477273672,0.026565324000330293,38
2025-09-13T10:52:03.485085,dijkstra,5,42,,37.0,38,3523.2020477273672,0.09705806400052097,1390
2025-09-13T10:52:03.509976,a_star,9,8,,5.242640687119286,5,456.8124170599766,0.024688657999831776,7
2025-09-13T10:52:03.547689,dijkstra,9,8,,5.242640687119286,5,456.8124170599766,0.03751731700049277,74
2025-09-13T10:52:03.587972,a_star,1,18,,14.65685424949238,14,1351.2514435389337,0.0395512819995929,55
2025-09-13T10:52:03.635720,dijkstra,1,18,,14.65685424949238,14,1353.3220107006794,0.04743339900051069,331
2025-09-13T10:52:03.679426,a_star,27,36,,40.1126983722081,32,3554.6795606544442,0.043333183999493485,289
2025-09-13T10:52:03.791326,dijkstra,27,36,,40.1126983722081,32,3554.6795606544442,0.11130551600035687,1590
